1	hola cómo te llamas	hola cómo te llamas	0	0.96667922	Saludos. Nao.	1			Valor	Porcentaje	
2	como estás		11	-1	¿Cuál es tu película favorita?	0		WER PROMEDIO	6.644508671		
3	que haces		9	-1	¿Cúal es tu actor favorito?	0		WER MAX	68		
4	qué música te gusta	qué música te gusta	0	0.96928781	Me encantan las canciones de Daft Punk.	1		WER MIN	0		
5	cuál es tu actor favorito		26	-1	¿Dónde te gustaría ir de vacaciones?	0		CANT SIN ERRORES	349	50.4335260115607%	
6	qué haces		10	-1	¿Cuál es tu película favorita?	0		CANT ERRORES	343	49.5664739884393%	
7	cuál es tu actor favorito	cuál es tu actor favorito	0	0.96348	"Mi actor favorito es Rutger Hauer en ""Blade Runner""."	1		CANT TOTAL	692	100.0000000000000%	
8	qué música te gusta	qué música te gusta	0	0.98001736	Me encantan las canciones de Daft Punk.	1					
9	cómo estás	cómo estás	0	0.84093702	"Muy bien, ¿en qué puedo ayudarte?"	1		CONFIDENCE PROMEDIO	0.882725861	88.27258613	%
10	cuéntame algo	cuéntame algo	0	0.98001736	Jay dijo que yo le referí a una guía que le mostrará habitaciones en China.	1		CONFIDENCE MAX	0.98783159	98.783159	%
11	recomiendame una película	recomiendame una película	0	0.98146969	Mi película favorita es . La has visto?	1		CONFIDENCE MIN	0.41618392	41.618392	%
12	adiós	adiós	0	0.85626781	Espero haber sido de ayuda.	1					
1	hola		4	-1	¿Crees que las máquinas son inteligentes?	0		TOTAL REQUESTS	692	100	%
2	si y tu		7	-1	¿Crees que las máquinas pueden pensar?	0		TOTAL ERRORES REQUEST	231	33.38150289	%
3	no porque		9	-1	¿Cúal es tu actor favorito?	0		TOTAL RESUELTOS	461	66.61849711	%
4	james bond y el tuyo		20	-1	¿Cuál es tu mejor recuerdo de infancia?	0					
5	la niñez cuál es tu película favorita	cuál es tu película	19	0.9187851	Me estás preguntando sobre mi película ?	1		CER TOTAL	0.593930636	59.393063583815%	
6	así es me la puedes decir porfavor	así es	28	0.73374248	¿Cómo?	1					
7	cuál es tu actor favorito	cuál es tu actor favorito	0	0.98339641	"Mi actor favorito es Arnold Schwarzenegger en ""Terminator""."	1					
8	y tu música favorita	y tu música favorita	0	0.95846277	Me encantan las canciones de Daft Punk.	1					
9	adiós	adiós	0	0.64135247	Espero haber sido de ayuda.	1					
1	hola	hola	0	0.70950091	Hola.	1					
2	cómo te llamas	cómo te llamas	0	0.96130866	Nao.	1					
3	cómo estás	cómo estás	0	0.83129656	Encantado para ayudarte en todo lo que pueda.	1					
4	qué haces		10	-1	¿Cuál es tu deporte favorito?	0					
5	el fútbol	el fútbol	0	0.77881277	Eso es un hecho	1					
6	cuéntame algo	cuéntame algo	0	0.98001736	Electra dijo que me visto no existirá después de cortar en I con un código de borrado.	1					
7	qué música te gusta	qué música te gusta	0	0.98001736	Me encantan las canciones de Daft Punk.	1					
8	y qué películas te gustan	y qué películas te gustan	0	0.96068811	"Mi película favorita es ""Blade Runner""."	1					
9	cuál es tu actor favorito	cuál es tu color favorito	3	0.98401386	¿Sabías que los esquimales pueden diferenciar hasta 12 tonos distintos de blancos?	0					
10	cuál es tu actor favorito	cuál es tu actor favorito	0	0.98001736	"Mi actor favorito es Arnold Schwarzenegger en ""Terminator""."	1					
11	recomiendame una película	recomiendame una película	0	0.98147088	Mi película favorita es . La has visto?	1					
12	gracias	gracias	0	0.94061738	De nada.	1					
13	adiós		6	-1	¿Cuál es tu película favorita?	0					
1	Hola	Hola	0	0.95210308	Hola.	1					
