1	hola cómo te llamas	hola cómo te llamas	0	0.96667922	Saludos. Nao.	1
2	como estás		11	-1	¿Cuál es tu película favorita?	0
3	que haces		9	-1	¿Cúal es tu actor favorito?	0
4	qué música te gusta	qué música te gusta	0	0.96928781	Me encantan las canciones de Daft Punk.	1
5	cuál es tu actor favorito		26	-1	¿Dónde te gustaría ir de vacaciones?	0
6	qué haces		10	-1	¿Cuál es tu película favorita?	0
7	cuál es tu actor favorito	cuál es tu actor favorito	0	0.96348	Mi actor favorito es Rutger Hauer en "Blade Runner".	1
8	qué música te gusta	qué música te gusta	0	0.98001736	Me encantan las canciones de Daft Punk.	1
9	cómo estás	cómo estás	0	0.84093702	Muy bien, ¿en qué puedo ayudarte?	1
10	cuéntame algo	cuéntame algo	0	0.98001736	Jay dijo que yo le referí a una guía que le mostrará habitaciones en China.	1
11	recomiendame una película	recomiendame una película	0	0.98146969	Mi película favorita es . La has visto?	1
12	adiós	adiós	0	0.85626781	Espero haber sido de ayuda.	1
